Subject,Date,Trial,File,0,30,60,90,120,150,180,210,240,270,FinalScore
29,4/1,1,kin_stat1_2016Y_04M_01D_12h_31m_17s_S3-subject-29_trials_3.mat,31,31,32,31,32,31,31,32,31,32,24
29,4/6,2,kin_stat1_2016Y_04M_06D_12h_52m_08s_S3-subject-29_trials_3.mat,32,32,33,32,32,33,32,32,33,32,33
29,4/20,3,kin_stat1_2016Y_04M_20D_10h_42m_43s_S3-subject-29_trials_3.mat,32,33,32,32,33,32,32,33,32,32,33
29,4/29,2,kin_stat1_2016Y_04M_29D_12h_33m_00s_S3-subject-29_trials_3.mat,33,32,32,32,33,32,32,32,31,32,31
29,5/4,1,kin_stat1_2016Y_05M_04D_12h_36m_04s_S3-subject-29_trials_3.mat,32,32,32,31,31,32,32,32,32,32,28
31,3/9,3,kin_stat1_2016Y_03M_09D_09h_50m_52s_S3-subject-31_trials_3.mat,31,32,31,31,32,31,30,30,31,32,21
31,3/18,2,kin_stat1_2016Y_03M_18D_13h_02m_31s_S3-subject-31_trials_3.mat,31,31,30,31,31,30,31,31,31,29,15
31,3/23,3,kin_stat1_2016Y_03M_23D_09h_33m_43s_S3-subject-31_trials_3.mat,29,31,31,28,31,32,32,31,31,31,15
31,4/6,3,kin_stat1_2016Y_04M_06D_08h_50m_49s_S3-subject-31_trials_3.mat,32,32,32,31,31,31,31,32,31,32,25
20,7/24,2,kin_stat1_2015Y_07M_24D_13h_22m_50s_S3-subject-20_trials_3.mat,31,30,31,31,29,31,31,32,31,30,16
20,8/04,1,kin_stat1_2015Y_08M_04D_11h_10m_31s_S3-subject-20_trials_3.mat,31,28,31,31,32,31,31,30,31,32,17
20,8/18,3,kin_stat1_2015Y_08M_18D_11h_19m_04s_S3-subject-20_trials_3.mat,33,32,32,28,31,32,31,32,32,31,23
20,8/28,3,kin_stat1_2015Y_08M_28D_14h_20m_48s_S3-subject-20_trials_3.mat,32,33,32,32,33,32,32,32,33,33,34
20,9/04,1,kin_stat1_2015Y_09M_04D_13h_21m_30s_S3-subject-20_trials_3.mat,32,33,32,32,32,32,33,33,33,32,34
23,9/09,2,kin_stat1_2015Y_09M_09D_11h_37m_04s_S3-subject-23_trials_2.mat,28,30,32,28,28,31,28,28,28,30,-5
23,9/24,3,kin_stat1_2015Y_09M_24D_12h_57m_10s_S3-subject-23_trials_3.mat,30,30,31,31,31,30,30,30,31,31,25
23,10/19,1,kin_stat1_2015Y_10M_19D_13h_25m_16s_S3-subject-23_trials_3.mat,29,31,31,30,32,30,30,30,31,30,13
23,10/26,3,kin_stat1_2015Y_10M_26D_13h_17m_43s_S3-subject-23_trials_3.mat,29,28,31,31,29,30,31,31,31,31,9
